id,title,image_url,author,description,genre_id,created_at,updated_at
1,ONEPIECE,https://img.papy.co.jp/sc/item/cover/9-571812-c400.jpg?renta,尾田栄一郎,時は大海賊時代。いまや伝説の海賊王G・ロジャーの遺した『ひとつなぎの大秘宝』を巡って、幾人もの海賊達が戦っていた。そんな海賊に憧れる少年ルフィは、海賊王目指して大いなる旅に出る!!,5,20190731,20190731
2,NARUTO,https://img.papy.co.jp/sc/item/cover/9-571902-c400.jpg?renta,岸本斉史,ここは木ノ葉隠れの里。忍術学校の問題児、ナルトは今日もイタズラ三昧!!　そんなナルトのでっかい夢は歴代の勇者、火影の名を受けついで、先代を越える忍者になることだ。だがナルトには出生の秘密が…!?,5,20190731,20190731
3,BLEACH,https://img.papy.co.jp/sc/item/cover/9-572174-c400.jpg?renta,久保帯人,黒崎一護・15歳・ユウレイの見える男。その特異な体質のわりに安穏とした日々を送っていた一護だが、突如、自らを死神と名乗る少女と遭遇、「虚」と呼ばれる悪霊に襲われる。次々と倒れる家族を前に一護は!?,5,20190731,20190731
4,DRAGONBALL,https://img.papy.co.jp/sc/item/cover/9-572694-c400.jpg?renta,鳥山明,山奥に住む怪力で、メチャクチャ元気な孫悟空。ある日悟空は、七つ揃うとどんな願いも叶うという、ドラゴンボールを探すブルマに出会う。彼女とともに、悟空もハラハラドキドキの旅へ出発する!,5,20190731,20190731
5,ハイキュー!!,https://img.papy.co.jp/sc/item/cover/9-571600-c400.jpg?renta,古舘春一,おれは飛べる!!　バレーボールに魅せられ、中学最初で最後の公式戦に臨んだ日向翔陽。だが、「コート上の王様」と異名を取る天才選手・影山に惨敗してしまう。リベンジを誓い烏野高校バレー部の門を叩く日向だが!?,6,20190731,20190731
6,約束のネバーランド,https://img.papy.co.jp/sc/item/cover/9-583714-c400.jpg?renta,白井カイウ,母と慕う彼女は親ではない。共に暮らす彼らは兄弟ではない。エマ・ノーマン・レイの三人はこの小さな孤児院で幸せな毎日を送っていた。しかし、彼らの日常はある日突然終わりを告げた。真実を知った彼らを待つ運命とは…!?,7,20190731,20190731
7,鬼滅の刃,https://img.papy.co.jp/sc/item/cover/9-582421-c400.jpg?renta,吾峠呼世晴,時は大正時代。炭を売る心優しき少年・炭治郎の日常は、家族を鬼に皆殺しにされたことで一変する。唯一生き残ったものの、鬼に変貌した妹・禰豆子を元に戻すため、また家族を殺した鬼を討つため、炭治郎と禰豆子は旅立つ!!　血風剣戟冒険譚、開幕!!,8,20190731,20190731
8,僕のヒーローアカデミア,https://img.papy.co.jp/sc/item/cover/9-579855-c400.jpg?renta,堀越耕平,多くの人間が“個性”という力を持つ。だが、それは必ずしも正義の為の力ではない。しかし、避けられぬ悪が存在する様に、そこには必ず我らヒーローがいる!　ん?　私が誰かって?　HA―HA―HA―HA―HA!　さぁ、始まるぞ少年!　君だけの夢に突き進め!　“Plus　Ultra”!!,9,20190731,20190731
9,東京卍リベンジャーズ,https://img.papy.co.jp/sc/item/cover/9-446866-c400.jpg?renta,和久井健,花垣タケミチは、中学時代に付き合っていた人生唯一の彼女・橘ヒナタが、悪党連合”東京卍會”に殺されたことをニュースで知る。壁の薄いボロアパートに住み、バイト先では6歳年下の店長からバカ扱い。極めつけはドーテー……。そんなどん底人生まっただ中のある日、12年前の中学時代にタイムリープする！！ ヒナタを救うため、逃げ続けた人生を変えるため、ダメフリーター・タケミチが、関東最凶不良軍団の頂点を目指す！！,10,20190731,20190731
10,capeta,https://img.papy.co.jp/sc/item/cover/9-285400-c400.jpg?renta,曽田正人,少年は、サーキットという名の”戦場”に征く！　小学校4年生の平 勝平太（通称カペタ）は、幼い頃に母を亡くし、仕事が忙しい父と二人暮らし。大好きな父を心配させまいと、カペタはいつもガマンばかり。唯一夢中になれるのは、かっこいいクルマを見ながら、運転のマネをするときだった。そんなある日、父が仕事先から持ち帰った”ある物”が、カペタの運命を大きく変えることになる！！,11,20190731,20190731
11,銀魂,https://img.papy.co.jp/sc/item/cover/9-571737-c400.jpg?renta,空知英秋,江戸では、突如宙から舞い降りた異人「天人」の台頭と廃刀令により侍が衰退の一途をたどっていた。しかし一人、侍の魂を堅持する男が…。その名は坂田銀時。甘党&無鉄砲なこの男が、腐った江戸を一刀両断…するかも!?,12,20190731,20190731
12,サマータイムレンダ,https://img.papy.co.jp/sc/item/cover/9-585322-c400.jpg?renta,田中靖規,幼馴染の潮が死んだ――。その報せを聞き、故郷の和歌山市・日都ケ島に帰ってきた慎平。家族との再会。滞りなく行われる葬儀。だが島にはある異変が…?　ひと夏の離島サスペンス!!,13,20190731,20190731
